match_layer,flag,n
county,duplicate_sheet_row,1
county,moa_pending,106
county,ori_conflict,1
facility,fuzzy_match,7
facility,geometry_unmatched,1
facility,has_addendum,93
facility,moa_pending,250
facility,ori_conflict,3
facility,weak_match,11
municipal,ambiguous_candidates,7
municipal,duplicate_sheet_row,3
municipal,geometry_unmatched,3
municipal,moa_pending,176
municipal,ori_conflict,12
municipal,roster_county_disagrees,34
municipal,type_mismatch,1
precinct,geometry_unmatched,47
precinct,moa_pending,23
state,duplicate_sheet_row,1
state,moa_pending,3
university,university_county_mismatch,1
